"Timestamp","Curso","Opinión General Sobre el Curso","¿Aprobó la Cursada?","¿Cómo te Resultaron los Temas de la Materia?","¿Los Temas de la Materia Están Actualizados?","Nivel de las Clases Teóricas del Curso","Nivel de las Clases Prácticas del Curso","Dificultad del Curso","Dificultad del TP","Comentarios Sobre el Curso"
"2017/07/03 12:55:49 AM GMT-3","Administración y Control de Proyectos 1 - Fontela","Bueno","Sí","Interesantes","Sí","Buenas","Buenas","Facil","Normal",""
"2017/07/03 12:56:44 AM GMT-3","Taller de Programación 2 - Veiga","Bueno","Sí","Poco Interesantes","Sí","Buenas","Buenas","Normal","Dificil",""
"2017/07/03 1:00:55 AM GMT-3","Algoritmos y Programación 3 - Fontela","Regular","Sí","Interesantes","Sí","Buenas","Malas","Normal","Normal","Correcciones de Massuh muy tardias y bastante malas. Rendir un recuperatorio de una materia enterandome 3 dias antes de que desaprobe un parcial y recibir las correcciones de dicho recuperatorio antes que las del parcial mismo es impresentable. Muy malos los tiempos de correccion y bastante flojas las correcciones del primer parcial."
"2017/07/03 1:36:37 AM GMT-3","Organización de Datos - Argerich","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Buenas","Dificil","Normal","De las mejores materias que curse. Me parecio excelente el curso, altamente actualizado, muy interesante, un apunte (hecho por la catedra) espectacular, con reglas claras desde el principio del cuatrimestre. Luis es de los mejores profesores que tuve, los demas acompañan bien. Me encanto sinceramente."
"2017/07/03 1:43:03 AM GMT-3","Organización de Datos - Argerich","Muy Bueno","No","Muy Interesantes","Sí","Muy Buenas","Buenas","Dificil","Dificil",""
"2017/07/03 2:52:46 AM GMT-3","Organización del Computador - Benitez","Muy Bueno","Sí","Poco Interesantes","Sí","Muy Buenas","Buenas","Normal","Normal",""
"2017/07/03 8:01:04 AM GMT-3","Administración y Control de Proyectos 1 - Fontela","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Regulares","Normal","Normal",""
"2017/07/03 9:08:38 AM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Excelentes","Normal","Normal","Excelente, debería ser modelo para otros cursos."
"2017/07/03 9:23:19 AM GMT-3","Proyectos Informáticos - Fontela","Muy Bueno","Sí","Interesantes","Sí","Excelentes","Buenas","Normal","Normal","Tienen que trabajar mas en como dar el TP"
"2017/07/03 9:24:47 AM GMT-3","Teoría de la Comunicación - Caram","Bueno","Sí","Interesantes","Sí","Buenas","Buenas","Normal","Fácil","Deberían crear contenido digital, no hay mucha info en la web y uno termina dependiendo demasiado de si fue o no a las clases, y de los apuntes de sus compañeros"
"2017/07/03 9:27:31 AM GMT-3","Aplicaciones Informáticas - Ierache","Bueno","Sí","Interesantes","Sí","Regulares","Regulares","Normal","Normal","deberian dar mas libertad para crear la aplicacion, sugieren TANTO hacer la app de tal tipo, que uno la termina haciendo como le dijeron, y casi no tiene relación con lo que había pensado inicialemnte"
"2017/07/03 9:35:16 AM GMT-3","Base de Datos - Servetto","Regular","Sí","Interesantes","Sí","Malas","Regulares","Normal","Normal",""
"2017/07/03 10:01:55 AM GMT-3","Algoritmos y Programación 3 - Fontela","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Dificil","Me gusto mucho porque te abre la cabeza y empezas a ver que no todo es programar. Me hubiera gustado que los primeros TP's ya hubieran estado cerrados antes de empezar con el TP final porque capaz te toca con gente que todavia no tiene los conceptos claros y asi resulta mas dificil el TP, pero bueno, muy lindo el TP final la verdad, gracias por todo"
"2017/07/03 11:39:28 AM GMT-3","Computación-Costa","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Excelentes","Dificil","Dificil","Me gustó mucho el curso, aprendí y me generó más interés del que tenía.  
Ciertos temas de la materia tuve que resolverlos consultando y leyendo (googleando). Pienso que para alguien que está en cero con programación y PC's puede ser un poco complicado desenvolverse solo."
"2017/07/03 12:08:50 PM GMT-3","Administración y Control de Proyectos 1 - Fontela","Muy Bueno","Sí","Muy Interesantes","Sí","Excelentes","Regulares","Dificil","Dificil","Las teoricas fueron excelentes, como suelen ser las clases de Carlos por lo general. Destaco, ademas, la manera de fomentar la participacion del curso para construir las clases entre todos. 
Con respecto a la practica, fue un cuatrimestre de transicion, lo cual conlleva a dificultades esperables. Celebro el cambio de parcial por un tp integral, creo que es una gran manera de fijar los conocimientos y que surjan preguntas que de otra forma no surgirian. El problema es que habia varias cuestiones sobre el como encarar el tp que no fueron claras, y las clases practicas fueron insuficientes. Habia muchos temas que necesitaban un enfoque distinto o mayor profundidad para poder aplicarlas al tp, ya que encontramos varios temas donde estabamos casi en blanco para trabajar apropiadamente."
"2017/07/03 12:12:05 PM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Interesantes","Sí","Buenas","Excelentes","Dificil","Dificil",""
"2017/07/03 12:24:23 PM GMT-3","Análisis Numérico - Schwarz","Bueno","Sí","Interesantes","Sí","Buenas","Buenas","Normal","Fácil",""
"2017/07/03 1:45:01 PM GMT-3","Base de Datos - Beiro","Muy Bueno","No","Interesantes","Sí","Excelentes","Muy Buenas","Muy Dificil","Dificil","-"
"2017/07/03 1:52:36 PM GMT-3","Computación-Cabrera","Malo","Sí","Interesantes","Sí","Regulares","Malas","Muy Facil","No hay TP","Se aprueba la materia sin demostrar un verdadero conocimiento de computacion"
"2017/07/03 2:00:20 PM GMT-3","Computación-Burin","Excelente","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Facil","Normal",""
"2017/07/03 3:01:38 PM GMT-3","Algoritmos y Programación 3 - Suarez","Regular","Sí","Interesantes","Sí","Regulares","Regulares","Normal","Dificil","Si se exije un trabajo practico tan rapido, expliquen acorde a lo exigido. Desorganizacion total en el curso de la noche, Fontela tiene que poner orden, ese maestro de teorica no puede seguir en este curso si quiere que los alumnos aprendan, por favor que vuelva Pablo Suarez o Fontela. Sin ellos dos el curso pierde seriedad! saludos"
"2017/07/03 3:13:24 PM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Dificil","Dificil",""
"2017/07/03 3:15:34 PM GMT-3","Sistemas Operativos - Mendez","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Muy dificil",""
"2017/07/03 3:16:51 PM GMT-3","Análisis de la Información - Villagra","Excelente","Sí","Interesantes","Sí","Excelentes","Excelentes","Muy Dificil","Dificil",""
"2017/07/03 3:51:25 PM GMT-3","Algoritmos y Programación 1 (Electrónica) - Kuhn","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Regulares","Facil","Normal","en donde pregunta si los temas estan actualizados puse si, pero la verdad no tengo idea, en la practica usamos el ansi 86 que no tiene bastantes de los agregados útiles que tienen ahora c pero comprendo que usar un lenguaje mas actual y complejo seria mas difícil para alguien que recién se mete en programación.
después no me gusta que los trabajos sean ""si o si"" de a 3, los preferiría hacer solo, va los termine haciendo solo porque en mi grupo eran unos quesos y mas que ayudar retrasaban y me retrasaron muchísimo en el tp3 y el 4"
"2017/07/03 4:01:12 PM GMT-3","Algoritmos y Programación 1 (Electrónica) - Kuhn","Bueno","Sí","Interesantes","Sí","Muy Buenas","Regulares","Dificil","Muy dificil","Los contenidos enseñados en la teórica fueron muy claros y completos. En la práctica se desarrollaron algunos de esos de manera mucho más confusa y se dictaron otros de manera incompleta.
En cuanto al sistema y tiempo de evaluación, se dieron los tps muy sobre la fecha de entrega y, aunque hubo la posibilidad de entregarlos posteriormente a la misma, eran complicados para el tiempo que teníamos para hacerlo. No me parece muy bien que haya que utilizar nombres de funciones, variable, tipos, etc en inglés, ya que no hay por qué saber dicho idioma, y la exigencia del mismo dificultoso la aprobación de los trabajos, en un principio."
"2017/07/03 4:26:16 PM GMT-3","Algoritmos y Programación 1 (Electrónica) - Kuhn","Bueno","Sí","Interesantes","Sí","Malas","Muy Buenas","Normal","Dificil",""
"2017/07/03 4:30:59 PM GMT-3","Algoritmos y Programación 1 - Mendez","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal",""
